t_s,rss_kb,phase
0.000,351412,start
0.110,360624,start
1.091,527836,after_setup
1.201,535680,after_setup
1.301,542728,after_setup
1.402,546880,after_setup
1.502,547040,after_setup
1.603,550368,after_setup
1.703,579840,loop
1.803,651660,loop
1.939,789740,loop
2.166,673260,loop
2.281,676692,loop
2.402,679068,loop
2.512,680652,loop
2.622,682500,loop
2.742,683820,loop
2.863,685668,loop
2.973,687352,loop
3.083,688904,loop
3.195,694728,loop
3.297,742516,loop
3.397,750172,loop
3.497,768976,loop
3.597,790812,loop
3.697,794968,loop
3.798,795088,loop
3.898,773856,loop
3.998,756600,loop
4.098,757392,loop
4.198,761088,loop
4.298,766896,loop
4.399,772440,loop
4.499,737856,loop
4.599,739176,loop
4.699,781308,loop
4.799,856020,loop
4.900,929676,loop
5.000,979632,loop
5.100,1060936,loop
5.200,1136168,loop
5.300,1208768,loop
5.400,1275552,loop
5.500,1440744,loop
5.600,1778204,loop
5.700,1983740,loop
5.801,2008656,loop
5.901,1949596,loop
6.001,2101576,loop
6.101,1949596,loop
6.201,2008660,loop
