t_s,rss_kb,phase
31.528,838312,loop
31.628,838312,loop
31.728,838312,loop
31.835,838660,loop
31.945,838660,loop
32.055,838660,loop
32.170,838664,loop
32.291,838664,loop
32.401,838664,loop
32.511,838664,loop
32.621,838664,loop
32.731,838664,loop
32.852,838664,loop
32.967,838664,loop
33.077,838664,loop
33.192,838664,loop
33.308,838664,loop
33.423,838664,loop
33.548,838664,loop
33.669,838664,loop
33.784,838664,loop
33.894,839436,loop
34.009,839436,loop
34.125,839436,loop
34.235,839436,loop
34.345,839436,loop
34.460,839436,loop
34.581,839436,loop
34.701,839436,loop
34.826,839436,loop
34.937,839436,loop
35.057,839436,loop
35.172,839436,loop
35.292,839436,loop
35.408,839436,loop
35.528,839436,loop
35.643,839436,loop
35.759,839436,loop
35.879,839436,loop
35.994,839436,loop
36.109,839436,loop
36.220,839436,loop
36.335,839436,loop
36.450,839436,loop
36.560,839436,loop
36.686,839436,loop
36.801,839436,loop
36.921,839436,loop
37.036,839436,loop
37.162,839436,loop
37.272,839436,loop
37.387,839436,loop
37.503,839436,loop
37.623,839436,loop
37.738,839436,loop
37.853,839436,loop
37.969,839436,loop
38.084,839436,loop
38.194,839436,loop
38.304,839436,loop
38.414,839436,loop
38.525,839436,loop
38.640,839436,loop
38.750,839436,loop
38.860,839436,loop
38.976,839436,loop
39.096,839436,loop
39.216,839436,loop
39.332,839436,loop
39.447,839436,loop
39.557,839436,loop
39.672,839436,loop
39.788,839436,loop
39.898,839436,loop
40.013,839436,loop
40.128,839436,loop
40.244,839436,loop
40.364,839436,loop
40.479,839436,loop
40.599,839436,loop
40.720,839436,loop
40.830,839436,loop
40.950,839436,loop
41.066,839436,loop
41.186,839436,loop
41.296,839436,loop
41.411,839436,loop
41.527,839436,loop
41.637,839436,loop
41.757,839436,loop
41.872,839436,loop
41.993,839436,loop
42.108,839436,loop
42.223,839436,loop
42.338,839436,loop
42.454,839436,loop
42.569,839436,loop
42.689,839436,loop
42.885,521520,after_loop
