t_s,rss_kb,phase
44.212,3905236,loop
44.337,3907892,loop
44.458,3910448,loop
44.573,3913004,loop
44.698,3915660,loop
44.813,3918112,loop
44.924,3920540,loop
45.034,3922932,loop
45.144,3925280,loop
45.254,3927736,loop
45.364,3930188,loop
45.475,3932540,loop
46.099,3837852,loop
46.199,3969416,loop
46.299,4299148,loop
46.399,4419060,loop
46.499,4390448,loop
46.600,4449840,loop
46.700,4559416,loop
46.800,4480956,loop
46.900,4658560,loop
47.953,968668,after_loop
