t_s,rss_kb,phase
0.000,347656,start
0.113,357560,start
0.277,381008,setup
0.382,388852,setup
0.482,406080,after_setup
0.582,414564,after_setup
0.688,429332,loop
0.793,433820,loop
0.903,439364,loop
1.012,444116,loop
1.115,518564,loop
