t_s,rss_kb,phase
0.000,350464,start
0.111,360632,start
0.495,448420,setup
0.600,456292,setup
0.831,471260,setup
0.939,480876,after_setup
1.039,487052,loop
1.158,606828,loop
1.326,549620,loop
1.437,553844,loop
1.557,555920,loop
1.672,558560,loop
1.782,561368,loop
1.893,563992,loop
2.012,567444,loop
2.113,704104,loop
2.213,746872,loop
2.313,762068,loop
2.413,767612,loop
2.513,787412,loop
2.614,820148,loop
2.715,852668,loop
2.815,872828,loop
2.915,901336,loop
3.016,947368,loop
3.116,990976,loop
3.216,1034116,loop
3.316,1079856,loop
3.416,1128472,loop
3.516,1174052,loop
3.616,1217476,loop
3.716,1261144,loop
3.817,1301040,loop
3.944,1463584,loop
4.049,1710440,loop
4.149,1816660,loop
4.249,1872120,loop
4.349,1960516,loop
4.449,2172304,loop
4.549,2223112,loop
4.650,2308716,loop
4.750,2360704,loop
