t_s,rss_kb,pcpu
.005022743,968,0.0
.118972499,968,0.0
.224857848,968,0.0
.330550764,968,0.0
.436006619,968,0.0
.541431640,968,0.0
.646811206,968,0.0
.752048093,968,0.0
.857244322,968,0.0
.962485035,968,0.0
1.112712501,968,0.0
1.218307805,968,0.0
1.323641588,968,0.0
1.428910772,968,0.0
1.534074793,968,0.0
1.639335451,968,0.0
1.744575071,968,0.0
1.849826897,968,0.0
1.955029885,968,0.0
2.060353177,968,0.0
2.165723239,968,0.0
2.270985379,968,0.0
2.376183261,968,0.0
2.481429889,968,0.0
2.586591778,968,0.0
2.691827960,968,0.0
2.797022679,968,0.0
2.902212395,968,0.0
3.007424606,968,0.0
3.112575234,968,0.0
3.217763442,968,0.0
3.322920925,968,0.0
3.428110179,968,0.0
3.533277335,968,0.0
3.638421922,968,0.0
3.743621048,968,0.0
3.848755032,968,0.0
3.953914264,968,0.0
4.059001232,968,0.0
4.164121019,968,0.0
4.269292408,968,0.0
4.374462980,968,0.0
4.479597170,968,0.0
4.584786537,968,0.0
4.689950555,968,0.0
4.795085071,968,0.0
4.900302687,968,0.0
5.005480160,968,0.0
5.110626565,968,0.0
5.215753136,968,0.0
5.320871869,968,0.0
5.425988865,968,0.0
5.531106116,968,0.0
5.636248016,968,0.0
5.741384699,968,0.0
5.846521587,968,0.0
5.952024837,968,0.0
6.059313297,968,0.0
6.166099823,968,0.0
6.271622068,968,0.0
