t_s,rss_kb,pcpu
.004579941,1080,0.0
.114928121,1080,0.0
.220703349,1080,0.0
.326405077,1080,0.0
.431864561,1080,0.0
.537194479,1080,0.0
.642449648,1080,0.0
.747750750,1080,0.0
.853126316,1080,0.0
.958519460,1080,0.0
1.063915820,1080,0.0
1.169194568,1080,0.0
1.274380035,1080,0.0
1.379583258,1080,0.0
1.484792850,1080,0.0
1.590134998,1080,0.0
1.695369248,1080,0.0
1.800614838,1080,0.0
1.905817328,1080,0.0
2.011024416,1080,0.0
2.116258592,1080,0.0
2.221424980,1080,0.0
2.326616995,1080,0.0
2.431779309,1080,0.0
2.536908564,1080,0.0
2.642125539,1080,0.0
2.747287333,1080,0.0
2.852438056,1080,0.0
2.957692961,1080,0.0
3.062942884,1080,0.0
3.168149286,1080,0.0
3.273309313,1080,0.0
3.378455212,1080,0.0
3.483592443,1080,0.0
3.588718734,1080,0.0
3.693810205,1080,0.0
3.798957873,1080,0.0
3.904113852,1080,0.0
4.009262798,1080,0.0
4.114398286,1080,0.0
4.219535414,1080,0.0
4.324668172,1080,0.0
4.429840146,1080,0.0
4.534968499,1080,0.0
4.640075671,1080,0.0
4.745223463,1080,0.0
4.850343791,1080,0.0
4.955508429,1080,0.0
5.060620556,1080,0.0
5.165702747,1080,0.0
5.270809898,1080,0.0
5.375909895,1080,0.0
5.481102073,1080,0.0
5.586341369,1080,0.0
5.691462379,1080,0.0
5.796588182,1080,0.0
5.901667240,1080,0.0
6.006798361,1080,0.0
6.111945438,1080,0.0
6.217034930,1080,0.0
6.322183200,1080,0.0
6.427280425,1080,0.0
6.532360803,1080,0.0
6.637504025,1080,0.0
6.742615621,1080,0.0
6.847725173,1080,0.0
6.952856347,1080,0.0
7.057966986,1080,0.0
7.163068806,1080,0.0
7.268196408,1080,0.0
7.373309063,1080,0.0
7.478419156,1080,0.0
7.583561952,1080,0.0
7.688640163,1080,0.0
7.793768134,1080,0.0
7.898906907,1080,0.0
8.004010385,1080,0.0
8.109136182,1080,0.0
8.214237528,1080,0.0
8.319335785,1080,0.0
8.424431598,1080,0.0
8.529510533,1080,0.0
8.634701437,1080,0.0
8.739846527,1080,0.0
