t_s,rss_kb,pcpu
.004809512,984,0.0
.116211385,984,0.0
.221998817,984,0.0
.327720450,984,0.0
.433259987,984,0.0
.538478467,984,0.0
.643642026,984,0.0
.748778729,984,0.0
.853956145,984,0.0
.959082430,984,0.0
1.078886250,984,0.0
1.184323602,984,0.0
1.289639799,984,0.0
1.394868505,984,0.0
1.500032279,984,0.0
1.605182522,984,0.0
1.710337088,984,0.0
1.815455313,984,0.0
1.920610314,984,0.0
2.025739943,984,0.0
2.130915840,984,0.0
2.236055406,984,0.0
2.341207939,984,0.0
2.446327674,984,0.0
2.551475548,984,0.0
2.656604026,984,0.0
2.761733025,984,0.0
2.866864888,984,0.0
2.971938625,984,0.0
3.077034135,984,0.0
3.182114919,984,0.0
3.287221295,984,0.0
3.392283461,984,0.0
3.497393671,984,0.0
3.602438448,984,0.0
3.707590653,984,0.0
3.812742862,984,0.0
3.917953222,984,0.0
4.023119333,984,0.0
4.128262607,984,0.0
4.233459884,984,0.0
4.338595600,984,0.0
4.443689746,984,0.0
4.548711443,984,0.0
4.654535451,984,0.0
4.760509961,984,0.0
4.865895334,984,0.0
