t_s,rss_kb,pcpu
.004327214,1080,0.0
.130098590,1080,0.0
.235781539,1080,0.0
.341292852,1080,0.0
.446696952,1080,0.0
.552048950,1080,0.0
.657248585,1080,0.0
.762468108,1080,0.0
.867641717,1080,0.0
.973552593,1080,0.0
1.079844033,1080,0.0
1.185192485,1080,0.0
1.290530480,1080,0.0
1.395726359,1080,0.0
1.500980059,1080,0.0
1.606177863,1080,0.0
1.711334016,1080,0.0
1.816508245,1080,0.0
1.921679306,1080,0.0
2.026841539,1080,0.0
2.132065522,1080,0.0
2.237287814,1080,0.0
2.342450816,1080,0.0
2.447604753,1080,0.0
2.552759940,1080,0.0
2.657949829,1080,0.0
2.763069721,1080,0.0
2.868217929,1080,0.0
2.973388186,1080,0.0
3.078511205,1080,0.0
3.183628899,1080,0.0
3.288757218,1080,0.0
3.393945258,1080,0.0
3.499095316,1080,0.0
3.604209029,1080,0.0
3.709338453,1080,0.0
3.814518792,1080,0.0
3.919695338,1080,0.0
4.024844889,1080,0.0
4.130041694,1080,0.0
4.235185924,1080,0.0
4.340324053,1080,0.0
4.445455007,1080,0.0
4.550610550,1080,0.0
4.655775871,1080,0.0
4.760951333,1080,0.0
4.866099823,1080,0.0
4.971324528,1080,0.0
