t_s,rss_kb,pcpu
.004582776,964,0.0
.117446496,964,0.0
.223594916,964,0.0
.329546295,964,0.0
.435080659,964,0.0
.540364024,964,0.0
.645594289,964,0.0
.750836955,964,0.0
.856060116,964,0.0
.961338178,964,0.0
1.076145357,964,0.0
1.181515027,964,0.0
1.286818016,964,0.0
1.392029370,964,0.0
1.497255825,964,0.0
1.602393424,964,0.0
1.707545271,964,0.0
1.812686350,964,0.0
1.917914057,964,0.0
2.023069040,964,0.0
2.128226806,964,0.0
2.233360384,964,0.0
2.338507041,964,0.0
2.443666533,964,0.0
2.548837670,964,0.0
2.654054360,964,0.0
2.759136937,964,0.0
2.864272447,964,0.0
2.969481550,964,0.0
3.074627515,964,0.0
3.179714167,964,0.0
3.284854382,964,0.0
3.390015677,964,0.0
3.495091938,964,0.0
3.600191223,964,0.0
3.705334203,964,0.0
3.810478707,964,0.0
3.915588723,964,0.0
4.020699333,964,0.0
