t_s,rss_kb,pcpu
.004157739,972,0.0
.116689624,972,0.0
.222387683,972,0.0
.328073904,972,0.0
.433632885,972,0.0
.538815688,972,0.0
.643983839,972,0.0
.749110379,972,0.0
.854284773,972,0.0
.959472566,972,0.0
1.081835291,972,0.0
1.187228955,972,0.0
1.292612121,972,0.0
1.397831092,972,0.0
1.503132586,972,0.0
1.608356065,972,0.0
1.713539588,972,0.0
1.818696347,972,0.0
1.923906533,972,0.0
2.029061055,972,0.0
2.134273526,972,0.0
2.239459432,972,0.0
2.344637849,972,0.0
2.449764821,972,0.0
2.554949298,972,0.0
2.660077215,972,0.0
2.765213395,972,0.0
2.870344531,972,0.0
2.975471485,972,0.0
3.080636166,972,0.0
3.185821749,972,0.0
3.290934319,972,0.0
3.396117341,972,0.0
3.501233465,972,0.0
3.606340405,972,0.0
3.711469573,972,0.0
3.816598214,972,0.0
3.921757342,972,0.0
4.026859207,972,0.0
4.132028016,972,0.0
4.237147033,972,0.0
4.342242279,972,0.0
4.447394438,972,0.0
4.552516317,972,0.0
4.657692631,972,0.0
4.762776240,972,0.0
4.867907885,972,0.0
4.973023580,972,0.0
5.078180432,972,0.0
5.183311262,972,0.0
5.288433026,972,0.0
5.393573882,972,0.0
5.498694439,972,0.0
5.603793957,972,0.0
5.709080654,972,0.0
5.814211429,972,0.0
5.919281697,972,0.0
6.024412940,972,0.0
