t_s,rss_kb,pcpu
.004148052,996,0.0
.117811115,996,0.0
.223770265,996,0.0
.329775361,996,0.0
.435297607,996,0.0
.541520188,996,0.0
.646821892,996,0.0
.752144109,996,0.0
.857311623,996,0.0
.962443343,996,0.0
1.067698927,996,0.0
1.172963612,996,0.0
1.278336476,996,0.0
1.383611034,996,0.0
1.488794590,996,0.0
1.594039863,996,0.0
1.699335662,996,0.0
1.804699609,996,0.0
1.910730378,996,0.0
2.016201893,996,0.0
2.121475606,996,0.0
2.226657953,996,0.0
2.331869309,996,0.0
2.437037047,996,0.0
2.542199837,996,0.0
2.648451437,996,0.0
2.754271305,996,0.0
2.861622884,996,0.0
2.966842958,996,0.0
3.072026738,996,0.0
3.177443128,996,0.0
3.282748592,996,0.0
3.388448537,996,0.0
3.493615856,996,0.0
3.598837857,996,0.0
3.703989861,996,0.0
3.809133866,996,0.0
3.914314245,996,0.0
4.019393796,996,0.0
4.124655561,996,0.0
4.230040862,996,0.0
4.335182068,996,0.0
4.440334712,996,0.0
4.545452744,996,0.0
4.650605875,996,0.0
4.755608664,996,0.0
4.860671181,996,0.0
4.965714970,996,0.0
5.070827659,996,0.0
5.175970458,996,0.0
5.281894391,996,0.0
5.387181427,996,0.0
5.492429092,996,0.0
5.597643066,996,0.0
5.702855889,996,0.0
5.808018642,996,0.0
5.913262786,996,0.0
6.018383888,996,0.0
6.123513405,996,0.0
6.228614045,996,0.0
6.333721383,996,0.0
6.438852588,996,0.0
6.543988352,996,0.0
6.649176560,996,0.0
6.755035185,996,0.0
6.860273580,996,0.0
6.965351831,996,0.0
7.070499241,996,0.0
7.175663985,996,0.0
7.281334674,996,0.0
7.386581816,996,0.0
7.491827528,996,0.0
7.596941345,996,0.0
7.702049868,996,0.0
7.807176052,996,0.0
7.912297419,996,0.0
8.017412867,996,0.0
8.122540942,996,0.0
8.227662099,996,0.0
8.332791334,996,0.0
8.437877378,996,0.0
8.542957058,996,0.0
8.648031816,996,0.0
8.753161092,996,0.0
8.858253633,996,0.0
8.963328353,996,0.0
9.068410079,996,0.0
9.173444580,996,0.0
9.278533031,996,0.0
9.383622530,996,0.0
9.488682165,996,0.0
9.593727353,996,0.0
9.698749315,996,0.0
9.803757209,996,0.0
9.908832198,996,0.0
10.013855233,996,0.0
10.118920355,996,0.0
10.224019448,996,0.0
10.329070597,996,0.0
10.434140095,996,0.0
10.539233138,996,0.0
10.644313457,996,0.0
10.749370355,996,0.0
10.854455479,996,0.0
10.959575504,996,0.0
11.064488321,996,0.0
11.169455500,996,0.0
11.274532493,996,0.0
11.379594198,996,0.0
11.484809692,996,0.0
11.589896655,996,0.0
11.694982142,996,0.0
11.800037155,996,0.0
11.905256061,996,0.0
12.010436484,996,0.0
12.115517419,996,0.0
12.220583293,996,0.0
12.325675305,996,0.0
12.430705233,996,0.0
12.535820083,996,0.0
12.640883745,996,0.0
12.746025015,996,0.0
12.851104539,996,0.0
12.956196818,996,0.0
13.061304447,996,0.0
13.166400539,996,0.0
13.271504377,996,0.0
13.376558238,996,0.0
13.481616178,996,0.0
13.586696571,996,0.0
13.691768892,996,0.0
13.796808782,996,0.0
13.901914638,996,0.0
14.007653469,996,0.0
14.112855410,996,0.0
14.218092913,996,0.0
14.323190082,996,0.0
14.428328836,996,0.0
14.533417173,996,0.0
14.638558772,996,0.0
14.743788561,996,0.0
14.849666926,996,0.0
14.954859424,996,0.0
15.060024550,996,0.0
15.165117257,996,0.0
15.270622358,996,0.0
15.376284197,996,0.0
15.481456569,996,0.0
15.586808103,996,0.0
15.691948279,996,0.0
15.797161612,996,0.0
15.902269404,996,0.0
16.007444668,996,0.0
16.112549769,996,0.0
16.217764408,996,0.0
16.322961995,996,0.0
16.428106333,996,0.0
16.533227400,996,0.0
16.638421684,996,0.0
16.743622175,996,0.0
16.848750499,996,0.0
16.953841278,996,0.0
17.058973056,996,0.0
17.164152844,996,0.0
17.269649781,996,0.0
17.375007465,996,0.0
17.480201116,996,0.0
17.585344731,996,0.0
17.690517112,996,0.0
17.795621861,996,0.0
17.900753252,996,0.0
18.005879107,996,0.0
18.110965230,996,0.0
18.216092705,996,0.0
18.321274611,996,0.0
18.426374430,996,0.0
18.531507366,996,0.0
18.636642682,996,0.0
18.741799547,996,0.0
18.846905470,996,0.0
18.952028025,996,0.0
19.057140146,996,0.0
19.162297045,996,0.0
19.267428828,996,0.0
19.372561647,996,0.0
19.477665777,996,0.0
19.582904599,996,0.0
19.688064949,996,0.0
19.793205157,996,0.0
19.898311710,996,0.0
20.003405125,996,0.0
20.108526430,996,0.0
20.213584112,996,0.0
20.318636271,996,0.0
20.423681759,996,0.0
20.528776532,996,0.0
20.633893166,996,0.0
20.738990664,996,0.0
20.844135185,996,0.0
20.949219689,996,0.0
21.054357248,996,0.0
21.159410100,996,0.0
21.264521699,996,0.0
21.369607772,996,0.0
21.474723943,996,0.0
21.579930290,996,0.0
21.685111298,996,0.0
21.790254571,996,0.0
21.895369728,996,0.0
22.000613698,996,0.0
22.105775566,996,0.0
22.210872142,996,0.0
22.316020372,996,0.0
22.421794643,996,0.0
22.527109111,996,0.0
22.632391334,996,0.0
22.737653874,996,0.0
22.842819493,996,0.0
22.947949172,996,0.0
23.053121151,996,0.0
23.158227511,996,0.0
23.263361164,996,0.0
23.368469142,996,0.0
23.473685106,996,0.0
23.578852830,996,0.0
23.683798929,996,0.0
23.788852158,996,0.0
23.893917332,996,0.0
23.999020103,996,0.0
24.104139314,996,0.0
24.209270989,996,0.0
24.314412982,996,0.0
24.419493937,996,0.0
24.524653762,996,0.0
24.629767990,996,0.0
24.734793044,996,0.0
